"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000253948",44.0728946259385,0.0592767928027746,0.447861646426272,0.132355144218702,0.894703392195539,0.999962774395567
"ENSG00000260902",0.0859188482727723,-0.67212027414336,3.18533771580458,-0.211004400195472,0.832883837798442,0.999962774395567
"ENSG00000068323",83.6906663745178,0.0200978117989809,0.23763234048602,0.0845752381930658,0.932599085577694,0.999962774395567
"ENSG00000130702",106.589200156462,0.159757412253639,0.255141932943129,0.626151140311574,0.531215811343574,0.999962774395567
"ENSG00000236398",0.145385875318589,0.768074240542481,2.33050308219404,0.329574436700329,0.741721540894104,0.999962774395567
"ENSG00000255660",0,NA,NA,NA,NA,NA
"ENSG00000127399",45.0292013035328,0.131989090479181,0.380232786389168,0.347127063219873,0.728495862633145,0.999962774395567
"ENSG00000249581",0.285406212224655,0.470961429840353,2.15044219476978,0.219006784272465,0.826644762968167,0.999962774395567
"ENSG00000112304",1069.98388059388,-0.109487685922704,0.213549420949781,-0.512704204187242,0.608158248380749,0.999962774395567
"ENSG00000104093",79.7733074156679,0.294971497408258,0.293949595477877,1.00347645292289,0.315631032583629,0.999962774395567
"ENSG00000159199",2969.58222896425,-0.309321038472215,0.211411343330138,-1.46312413326461,0.143433415359511,0.999962774395567
"ENSG00000172421",0.467265767401263,-0.469682309178475,1.46299669227365,-0.321041265273497,0.748179119538816,0.999962774395567
"ENSG00000128802",0,NA,NA,NA,NA,NA
"ENSG00000255565",0.256673515698785,0.811610742139804,1.88174205347954,0.431308180969357,0.666244302639215,0.999962774395567
"ENSG00000179674",17.911644611407,-0.367478281929328,0.55085331301503,-0.667107328297581,0.504703579494873,0.999962774395567
"ENSG00000135519",2.15414138215815,0.417767492121653,0.720004227152985,0.5802292213944,0.561760050359684,0.999962774395567
"ENSG00000180304",1729.44478405394,-0.132401731070354,0.122269923210192,-1.08286426943071,0.278868673455347,0.999962774395567
"ENSG00000104267",466.873552325792,-0.330722523518319,0.383274019788816,-0.862887924677356,0.388199090471898,0.999962774395567
"ENSG00000107623",0.453950518799255,-1.50439067993217,1.49263497433909,-1.00787580741118,0.313514087100029,0.999962774395567
"ENSG00000256953",0.0677866694434101,-0.67212027414336,3.18533771580458,-0.211004400195472,0.832883837798442,0.999962774395567
"ENSG00000259071",7.39810091942686,0.999951914710106,0.76227034597,1.31180744469031,0.189585112399466,0.999962774395567
"ENSG00000258857",0.197958618267908,-0.48733498961942,1.70186823604367,-0.286352949833722,0.774607807056411,0.999962774395567
"ENSG00000165097",25.7130509956373,0.29269147755181,0.278807264678367,1.04979860510256,0.293810716722346,0.999962774395567
"ENSG00000259113",0.499448436937976,0.814980660814482,1.25165638079863,0.651121724234314,0.514967914003888,0.999962774395567
"ENSG00000099246",824.591650528236,-0.111472350863074,0.339982306963161,-0.327876917651343,0.74300472690588,0.999962774395567
"ENSG00000174099",108.110617373117,0.0176610989985371,0.269954281566156,0.0654225556122882,0.947837565766311,0.999962774395567
"ENSG00000163590",69.5321784945219,0.297990892350691,0.353690763735059,0.842518162487015,0.399497977690541,0.999962774395567
"ENSG00000095564",46.7667194870537,0.522213593031062,0.343169229811474,1.52173781232644,0.128074789089438,0.999962774395567
"ENSG00000253301",1.46029666127849,1.55865820021237,0.987101939191032,1.57902455494085,0.114330424953662,0.999962774395567
"ENSG00000087494",30.152805195706,-0.0561187440158413,0.527870004629408,-0.106311674320725,0.915335069315408,0.999962774395567
"ENSG00000107036",15.4124546108505,0.328205384970723,0.259726810838334,1.26365616207028,0.206353466105367,0.999962774395567
"ENSG00000255871",0.769931500684308,0.496863483072755,1.86377540228286,0.266589784618988,0.789785021768633,0.999962774395567
"ENSG00000253217",0.057565193210283,-0.131117562906091,3.18533771580458,-0.0411628450746461,0.96716607388822,0.999962774395567
"ENSG00000188707",17.3773500168899,0.157582359938329,0.276718777828874,0.569467533698706,0.569038897423315,0.999962774395567
